Nifty,Reliance
2007-01-05,2011-12-27
2007-01-17,2013-04-02
2007-01-18,2014-10-23
2007-01-23,2015-10-01
2007-01-24,2015-10-05
2007-02-05,2016-01-19
2007-02-06,2016-12-20
2007-02-07,2017-07-10
2007-02-21,2019-01-21
2007-04-05,2021-04-23
2007-04-09,2021-08-02
2007-04-10,2021-08-03
2007-04-19,2022-11-08
2007-04-20,
2007-04-24,
2007-04-30,
2007-05-17,
2007-05-18,
2007-06-04,
2007-06-28,
2007-07-11,
2007-07-24,
2007-08-28,
2007-08-29,
2007-09-05,
2007-09-19,
2007-09-20,
2007-09-21,
2007-10-10,
2007-10-18,
2007-10-24,
2008-01-09,
2008-02-05,
2008-06-19,
2008-06-24,
2008-09-24,
2009-04-20,
2009-12-07,
2009-12-08,
2009-12-09,
2009-12-10,
2009-12-11,
2009-12-14,
2009-12-15,
2009-12-16,
2009-12-17,
2009-12-18,
2014-10-23,
