,reliance,nifty
0,2007-01-11,2007-01-11
1,2007-02-26,2007-02-26
2,2007-03-16,2007-03-16
3,2007-03-23,2007-03-23
4,2007-04-27,2007-04-27
5,2007-05-31,2007-05-31
6,2007-07-05,2007-07-05
7,2007-07-09,2007-07-09
8,2007-08-10,2007-08-10
9,2007-11-15,2007-11-15
10,2007-12-06,2007-12-06
11,2007-12-19,2007-12-19
12,2008-02-06,2008-02-06
13,2008-02-26,2008-02-26
14,2008-04-04,2008-04-04
15,2008-05-05,2008-05-05
16,2008-05-09,2008-05-09
17,2008-05-12,2008-05-12
18,2008-05-29,2008-05-29
19,2008-05-30,2008-05-30
20,2008-06-02,2008-06-02
21,2008-06-06,2008-06-06
22,2008-06-09,2008-06-09
23,2008-06-27,2008-06-27
24,2008-07-25,2008-07-25
25,2008-08-22,2008-08-22
26,2008-09-16,2008-09-16
27,2008-09-17,2008-09-17
28,2008-10-03,2008-10-03
29,2008-10-29,2008-10-29
30,2008-11-27,2008-11-27
31,2008-12-31,2008-12-31
32,2009-01-12,2009-01-12
33,2009-02-06,2009-02-06
34,2009-02-19,2009-02-19
35,2009-04-29,2009-04-29
36,2009-04-30,2009-04-30
37,2009-06-26,2009-06-26
38,2009-06-30,2009-06-30
39,2009-07-13,2009-07-13
40,2009-09-17,2009-09-17
41,2009-10-13,2009-10-13
42,2010-02-03,2010-02-03
43,2010-04-15,2010-04-15
44,2010-05-21,2010-05-21
45,2010-06-29,2010-06-29
46,2010-07-28,2010-07-28
47,2010-08-27,2010-08-27
48,2010-10-04,2010-10-04
49,2010-10-05,2010-10-05
50,2011-01-20,2011-01-20
51,2011-02-02,2011-02-02
52,2011-07-08,2011-07-08
53,2011-10-28,2011-10-28
54,2012-02-10,2012-02-10
55,2012-02-24,2012-02-24
56,2012-10-04,2012-10-04
57,2013-11-15,2013-11-15
58,2014-01-09,2014-01-09
59,2014-06-11,2014-06-11
60,2014-12-04,2014-12-04
61,2015-04-16,2015-04-16
62,2015-07-15,2015-04-21
63,2016-06-16,2015-07-15
64,2016-06-17,2016-06-16
65,2016-07-08,2016-06-17
66,2016-07-14,2016-07-08
67,2016-07-21,2016-07-14
68,2016-07-26,2016-07-21
69,2016-10-10,2016-07-26
70,2016-11-25,2016-10-10
71,2017-07-21,2016-11-25
72,2017-08-18,2017-07-21
73,2017-08-24,2017-08-18
74,2019-04-29,2017-08-24
75,2019-10-21,2019-04-29
76,,2019-10-21
