Type,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023
Sales +,"2,949","2,998","3,153","3,269","3,462","3,767","4,138","4,302","7,644","8,228","8,620","8,691","8,702"
Expenses +,"2,357","2,313","2,421","2,554","2,815","3,034","3,306","3,455","6,151","6,592","7,245","7,087","7,067"
Operating Profit,592,686,732,716,648,733,831,846,"1,494","1,636","1,375","1,604","1,636"
OPM %,20%,23%,23%,22%,19%,19%,20%,20%,20%,20%,16%,18%,19%
Other Income +,66,37,69,103,122,111,100,134,178,161,152,66,132
Interest,21,19,20,19,18,17,19,19,31,38,38,44,46
Depreciation,78,90,82,83,80,85,88,102,166,196,178,182,185
Profit before tax,559,613,699,717,672,742,824,860,"1,474","1,563","1,311","1,444","1,536"
Tax %,26%,25%,26%,24%,26%,26%,26%,26%,25%,24%,24%,23%,25%
Net Profit +,416,457,519,546,497,552,612,638,"1,106","1,189","1,001","1,114","1,152"
EPS in Rs,23.92,26.10,29.70,31.20,28.39,31.48,34.93,36.34,63.06,,33.82,37.65,38.92
Raw PDF,,,,,,,,,,,,,
